Type of plastic,Catalyst used,Feed Quantity,Feed to catalyst ratio,Surface area (m2/g),Pore dia (Å),Pore volume (cm3/g),Calcination temperature (0C),Calcination time (min),Temperature (0C),Inert gas flow rate (mL/min),Residence time (min),Heating rate (0C/min),C (%),H (%),N (%),S (%),O (%),Volatile matter (%),Moisture (%),Ash (%),Fixed Carbon (%),HHV of feed (MJ/kg),HHV of oil (MJ/kg),Oil yield (%),Gas yield (%),Wax(%),SolidResidue/Coke(%),CO (vol. %),CO2 (vol. %),H2 (vol. %),CH4 (vol. %),Reference
PE,NAX/CFA,,2,,,,,,,,30,,84,13.8,1.8,,0.85,98.6,0.27,0.9,0.21,,,18,42,0,,2.4,7.8,24,15,100
PE,HX/CFA,,2,,,,,,,,30,,84,13.8,1.8,,0.85,98.6,0.27,0.9,0.21,,,44,31,0,,5,17,30,8,100
LDPE,K325-1,100,9,7.221,179.07,0.03,,,600,100,60,10,85.2,14.1,0,0.2,0.5,99.9,0,0.03,0.07,,,74,26,0,,2,0,24,74,21
LDPE,K800-1,100,9,1.598,386.91,0.031,,,600,100,60,10,85.2,14.1,0,0.2,0.5,99.9,0,0.03,0.07,,,73,27,0,,0.5,2,28.5,69,21
LDPE,K1250-1,100,9,3.929,38.12,0.014,,,600,100,60,10,85.2,14.1,0,0.2,0.5,99.9,0,0.03,0.07,,,74,26,0,,0.5,2,29.5,68,21
LDPE,K1250-2,100,9,,,,,,600,100,60,10,85.2,14.1,0,0.2,0.5,99.9,0,0.03,0.07,,,75,25,0,,0,0,25,75,21
LDPE,K1250-3,100,9,,,,,,600,100,60,10,85.2,14.1,0,0.2,0.5,99.9,0,0.03,0.07,,,70,30,0,,0,0.5,24,75.5,21
LDPE,K1250-4,100,9,1.607,213.24,0.004,,,600,100,60,10,85.2,14.1,0,0.2,0.5,99.9,0,0.03,0.07,,,71,29,0,,0,0,24,76,21
HDPE,NCM,206.185,32.33,72.6,,,,,400,16.667,60,,,,,,,,,,,,,5.3,4.1,0,,,,,,23
HDPE,FCC,206.185,32.33,148.1,,,,,400,16.667,60,,,,,,,,,,,,,15.8,5.3,0,,,,,,23
HDPE,HZSM-5,206.185,32.33,300.1,,,,,400,16.667,60,,,,,,,,,,,,,14.3,12,0,,,,,,23
HDPE,NCM,206.185,32.33,72.6,,,,,420,16.667,60,,,,,,,,,,,,,28.2,5.8,0,,,,,,23
HDPE,FCC,206.185,32.33,148.1,,,,,420,16.667,60,,,,,,,,,,,,,30.4,5.5,0,,,,,,23
HDPE,HZSM-5,206.185,32.33,300.1,,,,,420,16.667,60,,,,,,,,,,,,,28.9,15.7,0,,,,,,23
HDPE,NCM,206.185,32.33,72.6,,,,,450,16.667,60,,,,,,,,,,,,,78.5,6.3,0,,,,,,23
HDPE,FCC,206.185,32.33,148.1,,,,,450,16.667,60,,,,,,,,,,,,,82.5,6.3,0,,,,,,23
HDPE,HZSM-5,206.185,32.33,300.1,,,,,450,16.667,60,,,,,,,,,,,,,81,15.1,0,,,,,,23
PS,TA-NZ,1000,10,,,,550,,450,50,75,10,,,,,,,,,,,41.7,70,14.2,,,,,,,14
PS,AA-NZ,1000,10,,,,,,450,50,75,10,,,,,,,,,,,42.1,60,15.4,,,,,,,14
PP,TA-NZ,1000,10,,,,550,,450,50,75,10,,,,,,,,,,,43.4,40,41.1,,,,,,,14
PP,AA-NZ,1000,10,,,,,,450,50,75,10,,,,,,,,,,,42.9,54,26.1,,,,,,,14
PE,TA-NZ,1000,10,,,,550,,450,50,75,10,,,,,,,,,,,42.9,40,47,,,,,,,14
PE,AA-NZ,1000,10,,,,,,450,50,75,10,,,,,,,,,,,43.5,42,50.8,,,,,,,14
LDPE,HZSM-5,,2,,,0.17,550,240,550,20,20,,,,,,,,,,,,,,,,,,,,,48
LDPE,HB,,2,,,0.41,550,240,550,20,20,,,,,,,,,,,,,,,,,,,,,48
LDPE,HY,,2,,,0.33,550,240,550,20,20,,,,,,,,,,,,,,,,,,,,,48
LDPE,MCM-41,,2,,,1.08,550,240,550,20,20,,,,,,,,,,,,,,,,,,,,,48
HDPE,Fly Ash,1,20,,,,,,145,,68,,,,,,,,,,,,,50.84,24.16,,,,,,,49
HDPE,Fly Ash,1,10,,,,,,120,,56,,,,,,,,,,,,,46.4,33.6,,,,,,,49
HDPE,Fly Ash,1,6.66,,,,,,100,,54,,,,,,,,,,,,,44,41,,,,,,,49
HDPE,HZSM-5,,10,341,,0.16,,,300,150,,5,,,,,,,,,,,,17.3,72.6,,0.7,,,,,50
HDPE,HUSY,,10,614,7.4,0.29,,,300,150,,5,,,,,,,,,,,,41,39.5,,1.9,,,,,50
LDPE,HZSM-5,,10,341,,0.16,,,300,150,,5,,,,,,,,,,,,18.3,70.7,,0.5,,,,,50
LDPE,HUSY,,10,614,7.4,0.29,,,300,150,,5,,,,,,,,,,,,61.6,34.5,,1.9,,,,,50
HDPE,undoped BaTiO3,,199,98.53,127.03,0.24,950,240,350,,30,5,84.74,11.65,0.02,0.66,2.93,99.81,0,0.18,0.01,,,78.34,0.5,0,21.16,,,,,24
HDPE,undoped BaTiO3,,99,98.53,127.03,0.24,950,240,350,,30,5,84.74,11.65,0.02,0.66,2.93,99.81,0,0.18,0.01,,,79.15,0.44,0,20.41,,,,,24
HDPE,undoped BaTiO3,,39,98.53,127.03,0.24,950,240,350,,30,5,84.74,11.65,0.02,0.66,2.93,99.81,0,0.18,0.01,,,81.97,12.32,0,5.71,,,,,24
HDPE,undoped BaTiO3,,19,98.53,127.03,0.24,950,240,350,,30,5,84.74,11.65,0.02,0.66,2.93,99.81,0,0.18,0.01,,,70.35,21.2,0,8.45,,,,,24
HDPE,undoped BaTiO3,,9,98.53,127.03,0.24,950,240,350,,30,5,84.74,11.65,0.02,0.66,2.93,99.81,0,0.18,0.01,,,65.45,23.19,0,11.36,,,,,24
HDPE,pb/BaTiO3,,199,198.88,127.01,0.62,950,240,350,,30,5,84.74,11.65,0.02,0.66,2.93,99.81,0,0.18,0.01,,,83.21,10.16,0,6.63,,,,,24
HDPE,pb/BaTiO3,,99,198.88,127.01,0.62,950,240,350,,30,5,84.74,11.65,0.02,0.66,2.93,99.81,0,0.18,0.01,,,76.64,14.5,0,8.86,,,,,24
HDPE,pb/BaTiO3,,39,198.88,127.01,0.62,950,240,350,,30,5,84.74,11.65,0.02,0.66,2.93,99.81,0,0.18,0.01,,,74.85,15.48,0,9.67,,,,,24
HDPE,pb/BaTiO3,,19,198.88,127.01,0.62,950,240,350,,30,5,84.74,11.65,0.02,0.66,2.93,99.81,0,0.18,0.01,,,70.38,19.14,0,10.48,,,,,24
HDPE,pb/BaTiO3,,9,198.88,127.01,0.62,950,240,350,,30,5,84.74,11.65,0.02,0.66,2.93,99.81,0,0.18,0.01,,,68.41,20.14,0,11.45,,,,,24
HDPE,Co/BaTiO3,,199,131.52,129.5,0.38,950,240,350,,30,5,84.74,11.65,0.02,0.66,2.93,99.81,0,0.18,0.01,,,73.17,18.33,0,8.5,,,,,24
HDPE,Co/BaTiO3,,99,131.52,129.5,0.38,950,240,350,,30,5,84.74,11.65,0.02,0.66,2.93,99.81,0,0.18,0.01,,,83.43,12.52,0,4.05,,,,,24
HDPE,Co/BaTiO3,,39,131.52,129.5,0.38,950,240,350,,30,5,84.74,11.65,0.02,0.66,2.93,99.81,0,0.18,0.01,,,78.63,20.67,0,0.7,,,,,24
HDPE,Co/BaTiO3,,19,131.52,129.5,0.38,950,240,350,,30,5,84.74,11.65,0.02,0.66,2.93,99.81,0,0.18,0.01,,,70.54,28.89,0,0.57,,,,,24
HDPE,Co/BaTiO3,,9,131.52,129.5,0.38,950,240,350,,30,5,84.74,11.65,0.02,0.66,2.93,99.81,0,0.18,0.01,,,60.72,38.8,0,0.48,,,,,24
HDPE,pb-Co/BaTiO3,,199,269.59,130.36,0.87,950,240,350,,30,5,84.74,11.65,0.02,0.66,2.93,99.81,0,0.18,0.01,,,69.82,29.04,0,1.14,,,,,24
HDPE,pb-Co/BaTiO3,,99,269.59,130.36,0.87,950,240,350,,30,5,84.74,11.65,0.02,0.66,2.93,99.81,0,0.18,0.01,,,85.17,10.1,0,4.73,,,,,24
HDPE,pb-Co/BaTiO3,,39,269.59,130.36,0.87,950,240,350,,30,5,84.74,11.65,0.02,0.66,2.93,99.81,0,0.18,0.01,,,74.64,18.05,0,7.31,,,,,24
HDPE,pb-Co/BaTiO3,,19,269.59,130.36,0.87,950,240,350,,30,5,84.74,11.65,0.02,0.66,2.93,99.81,0,0.18,0.01,,,52.95,46.69,0,0.36,,,,,24
HDPE,pb-Co/BaTiO3,,9,269.59,130.36,0.87,950,240,350,,30,5,84.74,11.65,0.02,0.66,2.93,99.81,0,0.18,0.01,,,48.25,50.15,0,1.6,,,,,24
LDPE,BAC/MgO,2,0.5,1095.48,,0.7465,,,500,70,20,,,,,,,,,,,,,72,23.9,0,4.1,,,,,25
LDPE,BAC/MgO,2,0.5,1095.48,,0.7465,,,500,70,20,,,,,,,,,,,,,71.5,21.7,0,6.8,,,,,25
LDPE,BAC/MgO,2,0.5,1095.48,,0.7465,,,500,70,20,,,,,,,,,,,,,81,15.1,0,3.9,,,,,25
LDPE,BAC/MgO,2,2,1095.48,,0.7465,,,500,70,20,,,,,,,,,,,,,79.5,19.2,0,1.3,,,,,25
LDPE,BAC/MgO,2,1,1095.48,,0.7465,,,500,70,20,,,,,,,,,,,,,70.5,26.8,0,2.7,,,,,25
LDPE,BAC/MgO,2,0.33,1095.48,,0.7465,,,500,70,20,,,,,,,,,,,,,68.5,29,0,2.5,,,,,25
LDPE,BAC/MgO,2,0.5,1095.48,,0.7465,,,450,70,20,,,,,,,,,,,,,60.9,17.7,0,21.4,,,,,25
LDPE,BAC/MgO,2,0.5,1095.48,,0.7465,,,550,70,20,,,,,,,,,,,,,70,25.5,0,4.5,,,,,25
LDPE,BAC/MgO,2,0.5,1095.48,,0.7465,,,600,70,20,,,,,,,,,,,,,68.5,29.3,0,2.2,,,,,25
LDPE,ZSM-5,5,2,361,4.11,0.206,550,180,450,100,,15,,,,,,,,,,,,54.6,29.7,0,15.7,,,,,29
LDPE,ZSM-5,5,2,361,4.11,0.206,550,180,500,100,,15,,,,,,,,,,,,59.9,38.3,0,1.8,,,,,29
LDPE,ZSM-5,5,2,361,4.11,0.206,550,180,550,100,,15,,,,,,,,,,,,50.1,48.4,0,1.5,,,,,29
LDPE,ZSM-5,5,2,361,4.11,0.206,550,180,600,100,,15,,,,,,,,,,,,44.9,53.8,0,1.3,,,,,29
LDPE,ZSM-5,5,2,361,4.11,0.206,550,180,650,100,,15,,,,,,,,,,,,37.9,61.4,0,0.7,,,,,29
LDPE,HY,5,2,701,8.11,0.392,550,180,450,100,,15,,,,,,,,,,,,59.5,30.5,0,10.1,,,,,29
LDPE,HY,5,2,701,8.11,0.392,550,180,500,100,,15,,,,,,,,,,,,60.9,34.6,0,4.5,,,,,29
LDPE,HY,5,2,701,8.11,0.392,550,180,550,100,,15,,,,,,,,,,,,55.1,41.3,0,3.7,,,,,29
LDPE,HY,5,2,701,8.11,0.392,550,180,600,100,,15,,,,,,,,,,,,38.9,58.1,0,3,,,,,29
LDPE,HY,5,2,701,8.11,0.392,550,180,650,100,,15,,,,,,,,,,,,30.2,67.1,0,2.7,,,,,29
LDPE,MCM-41,5,2,962,36.53,0.718,550,180,450,100,,15,,,,,,,,,,,,51.1,8.3,0,40.6,,,,,29
