Type of plastic,Catalyst used,Feed Quantity,Feed to catalyst ratio,Surface area (m2/g),Pore dia (Å),Pore volume (cm3/g),Calcination temperature (0C),Calcination time (min),Temperature (0C),Inert gas flow rate (mL/min),Residence time (min),Heating rate (0C/min),C (%),H (%),N (%),S (%),O (%),Volatile matter (%),Moisture (%),Ash (%),Fixed Carbon (%),HHV of feed (MJ/kg),HHV of oil (MJ/kg),Oil yield (%),Gas yield (%),Wax(%),SolidResidue/Coke(%),CO (vol. %),CO2 (vol. %),H2 (vol. %),CH4 (vol. %),Reference
LDPE,ZSM-5,20,3,412.2,,0.4,550,30,480,1000,10,10,,,,,,,,,,,,24.44,73.2,1.84,0.52,,,,,37
LDPE,ZSM-5,20,3,412.2,,0.4,550,30,480,1000,10,10,,,,,,,,,,,,27.38,67.28,1.85,3.49,,,,,37
LDPE,ZSM-5,20,3,412.2,,0.4,550,30,480,1000,10,10,,,,,,,,,,,,24.56,72.96,1.93,0.54,,,,,37
LDPE,ZSM-5,20,3,412.2,,0.4,550,30,480,1000,10,10,,,,,,,,,,,,24.44,73.02,1.89,0.65,,,,,37
LDPE,ZSM-5,20,3,412.2,,0.4,550,30,480,1000,10,10,,,,,,,,,,,,24.74,72.81,1.89,0.55,,,,,37
LDPE,ZSM-5,20,3,412.2,,0.4,550,30,480,1000,10,10,,,,,,,,,,,,24.94,72.73,1.78,0.55,,,,,37
LDPE,ZSM-5,20,2,412.2,,0.4,550,30,480,1000,10,10,,,,,,,,,,,,32.08,65.77,1.81,0.34,,,,,37
LDPE,ZSM-5,20,3,412.2,,0.4,550,30,480,1000,10,10,,,,,,,,,,,,24.2,73.5,1.79,0.5,,,,,37
LDPE,ZSM-5,20,4.68,412.2,,0.4,550,30,480,1000,10,10,,,,,,,,,,,,22.16,75.59,1.86,0.4,,,,,37
LDPE,ZSM-5,20,3,412.2,,0.4,550,30,480,1000,10,10,,,,,,,,,,,,29.7,68.22,1.83,0.25,,,,,37
LDPE,ZSM-5,20,4,412.2,,0.4,550,30,480,1000,10,10,,,,,,,,,,,,26.48,69.74,1.79,1.99,,,,,37
LDPE,ZSM-5,20,3,412.2,,0.4,550,30,480,1000,10,10,,,,,,,,,,,,24.92,72.54,1.94,0.6,,,,,37
LDPE,ZSM-5,20,4,412.2,,0.4,550,30,480,1000,10,10,,,,,,,,,,,,27.14,70.84,1.82,0.2,,,,,37
LDPE,ZSM-5,20,4,412.2,,0.4,550,30,480,1000,10,10,,,,,,,,,,,,27.39,70.63,1.88,0.1,,,,,37
LDPE,ZSM-5,20,2,412.2,,0.4,550,30,480,1000,10,10,,,,,,,,,,,,32.58,65.13,1.89,0.4,,,,,37
LDPE,ZSM-5,20,2,412.2,,0.4,550,30,480,1000,10,10,,,,,,,,,,,,27.21,67.74,1.8,3.25,,,,,37
LDPE,ZSM-5,20,3,412.2,,0.4,550,30,480,1000,10,10,,,,,,,,,,,,25.04,72.53,1.85,0.58,,,,,37
HDPE,FCC catalyst,100,10,,,,,,450,,,25,,,,,,,,,,,,90.3,6.3,,3.4,,,,,46
HDPE,FCC catalyst,100,20,235,,,,,420,,,25,,,,,,,,,,,,89.1,6.7,17.68,4.2,,,,,46
HDPE,FCC catalyst,100,20,235,,,,,450,,,25,,,,,,,,,,,,91.2,4.1,14.95,4.7,,,,,46
HDPE,FCC catalyst,100,20,235,,,,,480,,,25,,,,,,,,,,,,85.3,8.8,13.37,5.9,,,,,46
HDPE,FCC catalyst,100,20,235,,,,,510,,,25,,,,,,,,,,,,79.5,12.9,11.55,7.6,,,,,46
HDPE,FCC catalyst,100,40,,,,,,450,,,25,,,,,,,,,,,,87.2,7.4,,5.4,,,,,46
HDPE,FCC catalyst,100,60,,,,,,450,,,25,,,,,,,,,,,,85,8.8,,6.2,,,,,46
LDPE,Zeolite,1000,10,,,,,,475,,90,10,,,,,,,,,,,,50,42,,8,,,,,45
LDPE,ZSM-5 (Com),1000,10,,,,,,475,,90,10,,,,,,,,,,,,70,16,,14,,,,,45
LDPE,ZSM-5 (Syn),1000,10,,,,,,475,,90,10,,,,,,,,,,,,46,12,,42,,,,,45
LDPE,Mordenite,1000,10,,,,,,475,,90,10,,,,,,,,,,,,44,36,,20,,,,,45
LDPE,Gamma alumina,1000,10,,,,,,475,,90,10,,,,,,,,,,,,40,32,,28,,,,,45
HDPE,Zeolite,1000,10,,,,,,475,,90,10,,,,,,,,,,,,52,11,,37,,,,,45
PP,Zeolite,1000,10,,,,,,475,,90,10,,,,,,,,,,,,32,31,,37,,,,,45
BOPP,Zeolite,1000,1,,,,,,475,,90,10,,,,,,,,,,,,60,25,,15,,,,,45
METBOPP,Zeolite,1000,1,,,,,,475,,90,10,,,,,,,,,,,,60,25,,15,,,,,45
PET,Zeolite,1000,10,,,,,,475,,90,10,,,,,,,,,,,,10,42,,48,,,,,45
